City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,100,AU,1622616337,59,-42.7826,147.0587,57.58,3.36
Severo-Kuril'sk,47,RU,1622616337,81,50.6789,156.125,42.44,2.71
Najrān,46,SA,1622616337,13,17.4924,44.1277,90.25,13.51
Eidsvåg,23,NO,1622616338,44,62.7767,8.0668,61.45,3.29
Mattru,89,SL,1622616338,93,7.6244,-11.8332,74.28,1.1
Bozüyük,84,TR,1622616339,80,39.9078,30.0367,49.26,10.6
Waterloo,1,CA,1622616101,87,43.4668,-80.5164,54.0,2.77
Atuona,100,PF,1622616339,74,-9.8,-139.0333,79.43,17.72
San Patricio,100,US,1622616208,81,28.017,-97.5169,76.87,3.29
Rikitea,0,PF,1622616340,60,-23.1203,-134.9692,71.69,19.39
Khatanga,99,RU,1622616340,94,71.9667,102.5,35.2,16.73
Hamilton,90,US,1622616252,94,39.1834,-84.5333,64.4,1.99
Fare,100,PF,1622616154,71,-16.7,-151.0167,79.61,14.07
Blagoyevo,21,RU,1622616341,41,63.3667,47.9167,53.89,9.24
Cabo San Lucas,87,MX,1622616262,50,22.8909,-109.9124,82.4,10.45
Qaqortoq,89,GL,1622616342,82,60.7167,-46.0333,37.9,1.34
Hilo,40,US,1622616223,82,19.7297,-155.09,74.93,4.61
Ancud,100,CL,1622616342,79,-41.8697,-73.8203,44.22,4.25
Saint Paul Harbor,90,US,1622616283,93,57.79,-152.4072,45.91,13.8
Puerto Ayora,65,EC,1622616342,92,-0.7393,-90.3518,72.55,5.01
Ranfurly,0,NZ,1622616343,91,-45.1333,170.1,39.65,3.0
George Town,20,MY,1622616309,66,5.4112,100.3354,91.35,9.22
Torbay,90,CA,1622616343,93,47.6666,-52.7314,46.76,19.57
Salalah,40,OM,1622616344,70,17.0151,54.0924,87.89,12.66
Bandon,100,IE,1622616344,96,51.7469,-8.7425,55.45,3.24
Mārāndahalli,50,IN,1622616344,40,12.4,78.0,89.89,2.89
Cape Town,0,ZA,1622616158,86,-33.9258,18.4232,55.81,1.99
Norman Wells,75,CA,1622616345,81,65.282,-126.8329,46.44,4.61
Ostrovnoy,100,RU,1622616345,87,68.0531,39.5131,43.36,20.74
Fort Nelson,75,CA,1622616343,35,58.8053,-122.7002,69.39,6.91
Forsytheganj,100,BY,1622616345,61,52.6333,29.7333,57.97,12.55
Nīmbāhera,0,IN,1622616346,23,24.6167,74.6833,102.07,9.37
San Quintín,0,MX,1622616346,89,30.4833,-115.95,59.5,7.94
Vaini,75,TO,1622616346,83,-21.2,-175.2,71.76,3.44
Makkah al Mukarramah,5,SA,1622616127,26,21.4267,39.8261,100.92,7.25
Punta Arenas,0,CL,1622616347,93,-53.15,-70.9167,19.51,0.6
Talnakh,93,RU,1622616347,96,69.4865,88.3972,36.77,15.46
Saint George,1,US,1622616343,15,37.1041,-113.5841,82.99,3.0
Qaanaaq,87,GL,1622616347,93,77.484,-69.3632,20.43,3.98
Ushuaia,90,AR,1622616348,100,-54.8,-68.3,29.86,10.36
Sungai Penuh,90,ID,1622616348,71,-2.0833,101.3833,76.91,4.12
Hermanus,14,ZA,1622616349,72,-34.4187,19.2345,54.9,4.52
Tura,99,IN,1622616349,63,25.5198,90.2201,86.94,6.13
Jamestown,1,US,1622616350,79,42.097,-79.2353,56.84,5.75
Upernavik,37,GL,1622616350,93,72.7868,-56.1549,25.72,5.61
Port Alfred,69,ZA,1622616350,80,-33.5906,26.891,61.47,16.8
Saint-Philippe,95,RE,1622616351,81,-21.3585,55.7679,80.47,14.09
Busselton,100,AU,1622616351,67,-33.65,115.3333,65.05,3.11
Hofn,90,IS,1622616195,83,64.2539,-15.2082,46.18,18.7
Hambantota,75,LK,1622616351,62,6.1241,81.1185,93.54,18.25
Lüderitz,0,NA,1622616352,38,-26.6481,15.1594,61.84,9.46
Tasiilaq,58,GL,1622616352,73,65.6145,-37.6368,32.16,4.43
Zihuatanejo,100,MX,1622616106,77,17.6333,-101.55,82.02,3.22
Albany,100,US,1622616331,87,42.6001,-73.9662,53.85,2.26
Emba,19,KZ,1622616353,44,48.8264,58.1442,80.28,1.74
Eureka,73,US,1622616353,94,40.8021,-124.1637,54.19,1.01
